Agency,Award ID,Recipient Name,Federal Action Obligation,Action Date,Modification,Product/Service Description,NAICS Description,Transaction Description
CBP,70B01C21F00000071,DEPLOYED RESOURCES LLC,47409872.3,2021-09-05,P00019,OPERATION OF OTHER ADMINISTRATIVE FACILITIES AND SERVICE BUILDINGS,"PROCESS, PHYSICAL DISTRIBUTION, AND LOGISTICS CONSULTING SERVICES",THE PURPOSE OF THE MODIFICATION IS TO EXERCISE OPTION PERIOD.
CBP,70B04C20F00001357,"MANTECH ADVANCED SYSTEMS INTERNATIONAL, INC.",45996328.49,2021-09-23,P00001,IT AND TELECOM- OTHER IT AND TELECOMMUNICATIONS,COMPUTER SYSTEMS DESIGN SERVICES,MODIFICATION TO ADD FUNDING FOR BASE PERIOD AND SURGE.
CBP,70B01C21F00000053,TUTOR PERINI CORPORATION,44152771.0,2021-01-14,0,CONSTRUCTION OF MISCELLANEOUS BUILDINGS,COMMERCIAL AND INSTITUTIONAL BUILDING CONSTRUCTION,"RESTORATION / CONSTRUCTION CONTRACT TO REPAIR AND UPDATE THE SAN JUAN, PR CUSTOMS HOUSE"
CBP,70B03C20F00001383,LOYAL SOURCE GOVERNMENT SERVICES LLC,40623520.0,2021-09-21,P00008,MEDICAL- EVALUATION/SCREENING,TEMPORARY HELP SERVICES,MEDICAL SERVICES
CBP,70B01C21F00000003,"VF IMAGEWEAR, INC.",40057600.0,2021-01-05,P00001,"CLOTHING, SPECIAL PURPOSE",MEN'S AND BOYS' CLOTHING AND FURNISHINGS MERCHANT WHOLESALERS,DHS CONTRACT - UNIFORMS II - THIS MODIFICATION ADDS FUNDING FOR ALLOWANCE ACCOUNTS AND ACADEMY CLASSES.
CBP,70B04C21F00001386,SCIENCE APPLICATIONS INTERNATIONAL CORPORATION,38632766.61,2021-09-24,0,IT AND TELECOM - IT MANAGEMENT SUPPORT SERVICES (LABOR),COMPUTER SYSTEMS DESIGN SERVICES,INTERIM BRIDGE CONTRACT TO CONTINUE LBI SOLUTIONS FOR ITI CONTRACT
CBP,70B01C21F00001502,GWWH A JOINT VENTURE,37700000.0,2021-09-28,0,"CONSTRUCTION OF HIGHWAYS, ROADS, STREETS, BRIDGES, AND RAILWAYS",COMMERCIAL AND INSTITUTIONAL BUILDING CONSTRUCTION,LAREDO ROAD CONSTRUCTION
CBP,70B02C21F00000444,"ANDURIL INDUSTRIES, INC.",36920925.0,2021-06-07,0,CONSTRUCTION OF ELECTRONIC AND COMMUNICATIONS FACILITIES,COMPUTER SYSTEMS DESIGN SERVICES,AUTONOMOUS SURVEILLANCE TOWERS- REPLACEMENT TOWERS/PARTS - DELIVERY ORDER 4
CBP,70B01C21F00000071,DEPLOYED RESOURCES LLC,35113806.4,2021-01-15,0,OPERATION OF OTHER ADMINISTRATIVE FACILITIES AND SERVICE BUILDINGS,"PROCESS, PHYSICAL DISTRIBUTION, AND LOGISTICS CONSULTING SERVICES","SOFT-SIDED FACILITIES AND WRAP-AROUND SERVICES IN DONNA, TEXAS."
CBP,70B02C20C00000024,NORTHROP GRUMMAN SYSTEMS CORPORATION,33952258.42,2021-06-03,P00007,MAINT/REPAIR/REBUILD OF EQUIPMENT- AIRCRAFT AND AIRFRAME STRUCTURAL COMPONENTS,AIRCRAFT MANUFACTURING,P-3 AIRCRAFT MAINTENANCE AND LOGISTICAL SERVICES  - FUNDING ADDITION - ADMINISTRATIVE ACTIONS
CBP,70B04C21F00000993,"LEIDOS, INC.",33644127.55,2021-09-24,0,IT AND TELECOM - BUSINESS APPLICATION/APPLICATION DEVELOPMENT SUPPORT SERVICES (LABOR),OTHER COMPUTER RELATED SERVICES,TRAVELERS PROCESSING VETTING SOFTWARE (TPVS) ORDER 3
CBP,70B01C21F00000342,DEPLOYED RESOURCES LLC,32067255.3,2021-04-02,0,OPERATION OF OTHER ADMINISTRATIVE FACILITIES AND SERVICE BUILDINGS,"PROCESS, PHYSICAL DISTRIBUTION, AND LOGISTICS CONSULTING SERVICES",TUCSON SOFT SIDED FACILITY
CBP,70B04C21F00000815,AKIRA TECHNOLOGIES INC.,30477434.19,2021-07-28,0,IT AND TELECOM - IT MANAGEMENT TOOLS/PRODUCTS (HARDWARE AND PERPETUAL LICENSE SOFTWARE),OTHER COMPUTER RELATED SERVICES,ORACLE SOFTWARE AND HARDWARE MAINTENANCE.
CBP,70B01C21F00001097,DEPLOYED RESOURCES LLC,28389953.0,2021-08-30,0,LEASE OR RENTAL OF EQUIPMENT- PREFABRICATED STRUCTURES AND SCAFFOLDING,"PROCESS, PHYSICAL DISTRIBUTION, AND LOGISTICS CONSULTING SERVICES",LAREDO SOFT-SIDED FACILITY AWARD WITH WRAP-AROUND SERVICES INCLUDING OPTIONAL 500-PERSON FACILITY.
CBP,70B02C21F00000080,DAVENPORT AVIATION INC,27940938.8,2021-02-11,P00001,"AIRCRAFT, ROTARY WING",SURGICAL APPLIANCE AND SUPPLIES MANUFACTURING,ORDER LEH NUMBER 4 THROUGH 7
CBP,70B04C20F00000541,"FCN, INC.",26992364.55,2021-01-29,P00003,INFORMATION TECHNOLOGY SOFTWARE,OTHER COMPUTER RELATED SERVICES,ORACLE HARDWARE AND SOFTWARE MAINTENANCE. THE PURPOSE OF THIS MODIFICATION IS TO ADD FUNDING LINE ITEM 120 TO REPLACE LINE ITEM 10.
CBP,70B04C20F00001229,"LEIDOS, INC.",26967275.84,2021-09-21,P00003,IT AND TELECOM- OTHER IT AND TELECOMMUNICATIONS,OTHER COMPUTER RELATED SERVICES,EXERCISE AN OPTION.
CBP,70B04C21F00000286,DELL FEDERAL SYSTEMS L.P,25776789.73,2021-03-26,0,"IT AND TELECOM - END USER: HELP DESK;TIER 1-2,WORKSPACE,PRINT,OUTPUT,PRODUCTIVITY TOOLS (HW/PERP SW)",SOFTWARE PUBLISHERS,MICROSOFT LICENSES
CBP,70B01C21F00000301,DEPLOYED RESOURCES LLC,25470153.8,2021-03-24,0,OPERATION OF OTHER ADMINISTRATIVE FACILITIES AND SERVICE BUILDINGS,"PROCESS, PHYSICAL DISTRIBUTION, AND LOGISTICS CONSULTING SERVICES",SOFT-SIDED FACILITY IN YUMA WITH WRAP-AROUND SERVICES
CBP,70B02C20C00000041,PAE AVIATION AND TECHNICAL SERVICES LLC,25238371.44,2021-05-07,P00011,MAINT/REPAIR/REBUILD OF EQUIPMENT- AIRCRAFT AND AIRFRAME STRUCTURAL COMPONENTS,OTHER SUPPORT ACTIVITIES FOR AIR TRANSPORTATION,MODIFICATION TO ADD INCREMENTAL FUNDING THRU 6/30/21 AND OTHER CONTRACT ACTIONS.
CBP,70B01C21F00000071,DEPLOYED RESOURCES LLC,24816655.3,2021-08-06,P00017,OPERATION OF OTHER ADMINISTRATIVE FACILITIES AND SERVICE BUILDINGS,"PROCESS, PHYSICAL DISTRIBUTION, AND LOGISTICS CONSULTING SERVICES",EXERCISE OPTION PERIOD 3
CBP,70B02C18C00000040,"GENERAL ATOMICS AERONAUTICAL SYSTEMS, INC.",24370135.0,2021-04-22,P00025,SUPPORT- PROFESSIONAL: ENGINEERING/TECHNICAL,OTHER SUPPORT ACTIVITIES FOR AIR TRANSPORTATION,UAS OPERATIONAL AND MAINTENANCE SUPPORT
CBP,70B01C21F00000195,DEPLOYED RESOURCES LLC,23011886.2,2021-03-03,0,OPERATION OF OTHER ADMINISTRATIVE FACILITIES AND SERVICE BUILDINGS,"PROCESS, PHYSICAL DISTRIBUTION, AND LOGISTICS CONSULTING SERVICES",SOFT-SIDED FACILITY AND WRAP-AROUND SERVICES IN DEL RIO SECTOR / EAGLE PASS TEXAS.
CBP,70B04C20F00001314,UNISSANT INC.,22750304.64,2021-09-10,P00002,"IT AND TELECOM - TELEPROCESSING, TIMESHARE, CLOUD COMPUTING, AND HIGH PERFORMANCE COMPUTING",COMPUTER SYSTEMS DESIGN SERVICES,VETTING SERVICES
CBP,70B04C21F00000032,INTERNATIONAL BUSINESS MACHINES CORPORATION,21744222.04,2021-01-28,0,"IT AND TELECOM - PLATFORM PRODUCTS: DATABASE, MAINFRAME, MIDDLEWARE (HW, PERPETUAL LICENSE SOFTWARE)",COMPUTER SYSTEMS DESIGN SERVICES,MAINFRAME-AS-A-SERVICE (MFAAS) BRIDGE
CBP,70B02C21F00000080,DAVENPORT AVIATION INC,21257234.1,2021-02-04,0,"AIRCRAFT, ROTARY WING",SURGICAL APPLIANCE AND SUPPLIES MANUFACTURING,LIGHT ENFORCEMENT HELICOPTERS
CBP,70B02C20C00000024,NORTHROP GRUMMAN SYSTEMS CORPORATION,21230455.0,2021-03-04,P00006,MAINT/REPAIR/REBUILD OF EQUIPMENT- AIRCRAFT AND AIRFRAME STRUCTURAL COMPONENTS,AIRCRAFT MANUFACTURING,FUNDING FOR P-3 AIRCRAFT MAINTENANCE SERVICES
CBP,70B02C21C00000005,DYNCORP INTERNATIONAL LLC,20117790.77,2021-09-29,P00002,MAINT/REPAIR/REBUILD OF EQUIPMENT- AIRCRAFT AND AIRFRAME STRUCTURAL COMPONENTS,OTHER SUPPORT ACTIVITIES FOR AIR TRANSPORTATION,AIRCRAFT MAINTENANCE AND LOGISTICS SUPPORT SERVICES - MODIFICATION ISSUED TO ADD INCREMENTAL BASE PERIOD FUNDING.
CBP,70B02C20C00000041,PAE AVIATION AND TECHNICAL SERVICES LLC,19374882.67,2021-08-18,P00013,MAINT/REPAIR/REBUILD OF EQUIPMENT- AIRCRAFT AND AIRFRAME STRUCTURAL COMPONENTS,OTHER SUPPORT ACTIVITIES FOR AIR TRANSPORTATION,MOD TO FUND CONTRACT THROUGH 9/30/21 AND AUTHORIZE THE 3RD OPTION PERIOD OPERATIONS INCENTIVE FEE
CBP,70B04C21F00000608,AMERICAN SCIENCE & ENGINEERING INC,19131614.68,2021-06-30,0,MAINT/REPAIR/REBUILD OF EQUIPMENT- ELECTRICAL AND ELECTRONIC EQUIPMENT COMPONENTS,OTHER ELECTRONIC AND PRECISION EQUIPMENT REPAIR AND MAINTENANCE,AMERICAN SCIENCE AND ENGINEERING(AS&E) OEM MAINTENANCE SUPPORT
CBP,70B03C21F00000723,DELOITTE CONSULTING LLP,18566542.0,2021-06-30,0,SUPPORT- PROFESSIONAL: PROGRAM MANAGEMENT/SUPPORT,COMPUTER SYSTEMS DESIGN SERVICES,ENTERPRISE BUSINESS MANAGEMENT SUPPORT SERVICES SUPPORT SERVICES
CBP,70B02C21F00001087,AMERICAN SYSTEMS CORPORATION,18348904.29,2021-09-24,0,SUPPORT- MANAGEMENT: CONTRACT/PROCUREMENT/ACQUISITION SUPPORT,COMPUTER SYSTEMS DESIGN SERVICES,INDEPENDENT VERIFICATION AND VALIDATION SERVICES
CBP,70B03C21F00000091,DEPLOYED RESOURCES LLC,18283204.92,2021-01-16,0,LEASE OR RENTAL OF EQUIPMENT- PREFABRICATED STRUCTURES AND SCAFFOLDING,"PROCESS, PHYSICAL DISTRIBUTION, AND LOGISTICS CONSULTING SERVICES",ACQUISITION OF TEMPORARY SOFT SIDE FACILITIES WITH WRAP-AROUND SERVICES FOR CBP MPP IMMIGRATION HEARINGS ON THE SOUTHWESTERN BORDER AT THE PORTS OF ENTRY IN BROWNSVILLE TX AND LAREDO TX.
CBP,70B02C18C00000040,"GENERAL ATOMICS AERONAUTICAL SYSTEMS, INC.",17540000.0,2021-03-09,P00023,SUPPORT- PROFESSIONAL: ENGINEERING/TECHNICAL,OTHER SUPPORT ACTIVITIES FOR AIR TRANSPORTATION,UAS O&M SERVICES
CBP,70B04C21C00000014,"CHENEGA IT ENTERPRISE SERVICES, LLC",17481922.72,2021-02-24,0,"IT AND TELECOM - END USER: HELP DESK; TIER1-2, WORKSPACE, PRINT, PRODUCTIVITY TOOLS (LABOR)",OTHER ELECTRONIC AND PRECISION EQUIPMENT REPAIR AND MAINTENANCE,INTEGRATED LOGISTICS SUPPORT (ILS) SERVICES.
CBP,70B04C18F00001189,"SEV1TECH, LLC",17293930.82,2021-08-13,P00016,SUPPORT- PROFESSIONAL: TECHNOLOGY SHARING/UTILIZATION,COMPUTER FACILITIES MANAGEMENT SERVICES,ENTERPRISE ENGINEERING NETWORK SERVICES
CBP,70B04C21F00001277,"LEIDOS, INC.",16994572.86,2021-09-29,0,IT AND TELECOM - BUSINESS APPLICATION/APPLICATION DEVELOPMENT SUPPORT SERVICES (LABOR),OTHER COMPUTER RELATED SERVICES,TRAVELERS PROCESSING VETTING SOFTWARE (TPVS)
CBP,70B02C21C00000045,PERATON INC.,16529306.97,2021-06-30,0,SUPPORT- PROFESSIONAL: ENGINEERING/TECHNICAL,ENGINEERING SERVICES,CONTRACT AWARD FOR TARS O&M SERVICES
CBP,70B02C20C00000041,PAE AVIATION AND TECHNICAL SERVICES LLC,15577793.62,2021-02-05,P00007,MAINT/REPAIR/REBUILD OF EQUIPMENT- AIRCRAFT AND AIRFRAME STRUCTURAL COMPONENTS,OTHER SUPPORT ACTIVITIES FOR AIR TRANSPORTATION,"MODIFICATION TO INCREMENTALLY FUND THE CONTRACT THROUGH MARCH 12, 2021 AND AUTHORIZE PAYMENT OF OPERATIONAL PERFORMANCE INCENTIVE FEES AND OTHER CONTRACT ACTIONS."
CBP,HSBP1017C00137,ACCENTURE FEDERAL SERVICES LLC,15254553.99,2021-05-07,P00032,IT AND TELECOM- FACILITY OPERATION AND MAINTENANCE,OTHER COMPUTER RELATED SERVICES,DATA CENTER SUPPORT SERVICES
CBP,70B03C21F00001131,SMITHS DETECTION INC.,14674574.0,2021-09-28,0,HAZARD-DETECTING INSTRUMENTS AND APPARATUS,IRRADIATION APPARATUS MANUFACTURING,THIS DELIVERY ORDER IS ISSUED AGAINST IDIQ CONTRACT 70B03C21D00000003 FOR MULTI ENERGY PORTALS.
CBP,70B02C21C00000017,GLOBAL MARITEK SYSTEMS INC,14562659.91,2021-03-29,0,MAINT/REPAIR/REBUILD OF EQUIPMENT- SHIP AND MARINE EQUIPMENT,SHIP BUILDING AND REPAIRING,NATIONAL VESSEL MAINTENANCE AND LOGISTICS SUPPORT SERVICES
CBP,70B02C18C00000040,"GENERAL ATOMICS AERONAUTICAL SYSTEMS, INC.",13888694.34,2021-09-22,P00028,SUPPORT- PROFESSIONAL: ENGINEERING/TECHNICAL,OTHER SUPPORT ACTIVITIES FOR AIR TRANSPORTATION,UAS O&M SUPPORT
CBP,HSBP1016C00103,"LEIDOS, INC.",13856368.5,2021-08-27,P00016,MISCELLANEOUS MAINTENANCE AND REPAIR SHOP SPECIALIZED EQUIPMENT,"SEARCH, DETECTION, NAVIGATION, GUIDANCE, AERONAUTICAL, AND NAUTICAL SYSTEM AND INSTRUMENT MANUFACTURING",LEIDOS MAINTENANCE AND TECHNOLOGY SUPPORT SERVICES
CBP,70B01C21F00000520,"FEDERAL MISSION SOLUTIONS, LLC",13652959.29,2021-06-30,0,SUPPORT- PROFESSIONAL: ENGINEERING/TECHNICAL,ENGINEERING SERVICES,"AWARD OF PROGRAM, PROJECT, AND ENGINEERING SERVICES (PPES)"
CBP,70B03C21F00000793,ISS ACTION INC,13270778.11,2021-09-15,P00001,TRANSPORTATION/TRAVEL/RELOCATION- OTHER: OTHER,SECURITY GUARDS AND PATROL SERVICES,GROUND TRANSPORTATION
CBP,70B03C20F00000747,ISS ACTION INC,13127100.05,2021-04-05,P00007,TRANSPORTATION/TRAVEL/RELOCATION- OTHER: OTHER,SECURITY GUARDS AND PATROL SERVICES,GROUND TRANSPORTATION AND GUARD SERVICES
CBP,70B02C18C00000040,"GENERAL ATOMICS AERONAUTICAL SYSTEMS, INC.",12737631.82,2021-06-23,P00026,SUPPORT- PROFESSIONAL: ENGINEERING/TECHNICAL,OTHER SUPPORT ACTIVITIES FOR AIR TRANSPORTATION,UAS O&M SUPPORT
CBP,70B02C19F00000017,"MANTECH ADVANCED SYSTEMS INTERNATIONAL, INC.",12390111.07,2021-05-18,P00019,SUPPORT- PROFESSIONAL: OTHER,ENGINEERING SERVICES,P00019-EXERCISE OPTION YEAR 2.
CBP,70B04C21F00000944,"LEIDOS, INC.",12366154.86,2021-09-24,0,IT AND TELECOM - BUSINESS APPLICATION/APPLICATION DEVELOPMENT SUPPORT SERVICES (LABOR),OTHER COMPUTER RELATED SERVICES,TPVS ORDER 4
CBP,70B02C20C00000041,PAE AVIATION AND TECHNICAL SERVICES LLC,12250000.0,2021-03-31,P00009,MAINT/REPAIR/REBUILD OF EQUIPMENT- AIRCRAFT AND AIRFRAME STRUCTURAL COMPONENTS,OTHER SUPPORT ACTIVITIES FOR AIR TRANSPORTATION,"MODIFICATION TO INCREASE THE CONTRACT CEILING TO EXTEND THE CONTRACT BY INCORPORATING TWO 3-MONTH OPTION PERIODS, EXERCISE OPTION PERIOD 3, AND PROVIDE FUNDING THROUGH MAY 7, 2021"
CBP,HSBP1017F00288,PERATON ENTERPRISE SOLUTIONS LLC,12235976.05,2021-04-09,P00018,IT AND TELECOM- TELECOMMUNICATIONS NETWORK MANAGEMENT,COMPUTER SYSTEMS DESIGN SERVICES,NETWORK MANAGEMENT SUPPORT SERVICES FOR THE NETWORK OPERATIONS CENTER
CBP,70B02C20C00000041,PAE AVIATION AND TECHNICAL SERVICES LLC,12000000.0,2021-01-22,P00006,MAINT/REPAIR/REBUILD OF EQUIPMENT- AIRCRAFT AND AIRFRAME STRUCTURAL COMPONENTS,OTHER SUPPORT ACTIVITIES FOR AIR TRANSPORTATION,"MOD TO INCREMENTALLY FUND CONTRACT FROM JAN 1 - 31, 2021."
CBP,70B01C21F00000301,DEPLOYED RESOURCES LLC,11971351.18,2021-09-14,P00005,OPERATION OF OTHER ADMINISTRATIVE FACILITIES AND SERVICE BUILDINGS,"PROCESS, PHYSICAL DISTRIBUTION, AND LOGISTICS CONSULTING SERVICES",EXERCISE OPTION PERIOD 2
CBP,HSBP1017C00137,ACCENTURE FEDERAL SERVICES LLC,10961325.11,2021-03-01,P00031,IT AND TELECOM- FACILITY OPERATION AND MAINTENANCE,OTHER COMPUTER RELATED SERVICES,FUNDING MOD
CBP,70B05C19F00000381,DEV TECHNOLOGY GROUP INC,10950659.52,2020-11-20,P00016,IT AND TELECOM- FACILITY OPERATION AND MAINTENANCE,OTHER COMPUTER RELATED SERVICES,"FUND CLIN 002 ON-DEMAND/SURGE SERVICES DEVELOPMENT AND CLIN 004 ON-DEMAND/SURGE SERVICES O&M REQUIREMENT, EXTEND THE TASK ORDER'S POP, REVISE THE DELIVERY SCHEDULE OF LINE ITEMS"
CBP,HSBP1017C00137,ACCENTURE FEDERAL SERVICES LLC,10575314.4,2021-08-05,P00035,IT AND TELECOM- FACILITY OPERATION AND MAINTENANCE,OTHER COMPUTER RELATED SERVICES,DATA CENTER SUPPORT SERVICES
CBP,70B05C19F00000381,DEV TECHNOLOGY GROUP INC,10504571.2,2021-07-16,P00027,IT AND TELECOM- FACILITY OPERATION AND MAINTENANCE,OTHER COMPUTER RELATED SERVICES,SURGE SUPPORT REQUIREMENTS - ACE DEVELOPMENTAL AND O&M
CBP,70B01C21F00000688,TACTICAL INFRASTRUCTURE MAINTENANCE SOLUTIONS LLC,10386146.93,2021-07-12,0,MAINTENANCE OF HIGHWAYS/ROADS/STREETS/BRIDGES/RAILWAYS,ALL OTHER SPECIALTY TRADE CONTRACTORS,IDIQ TASK ORDER TO FUND UNSCHEDULED MAINTENANCE.
CBP,70B02C20C00000041,PAE AVIATION AND TECHNICAL SERVICES LLC,10200000.0,2021-07-20,P00012,MAINT/REPAIR/REBUILD OF EQUIPMENT- AIRCRAFT AND AIRFRAME STRUCTURAL COMPONENTS,OTHER SUPPORT ACTIVITIES FOR AIR TRANSPORTATION,MOD TO EXERCISE OPTION PERIOD 4 AND INCREMENTALLY FUND CONTRACT.
CBP,70B04C20F00000266,"FOUR POINTS TECHNOLOGY, L.L.C.",10120007.33,2021-08-26,P00007,INFORMATION TECHNOLOGY SUPPORT EQUIPMENT,OTHER COMPUTER RELATED SERVICES,AMAZON WES SERVICES
CBP,70B01C21F00000071,DEPLOYED RESOURCES LLC,9926656.65,2021-06-05,P00012,OPERATION OF OTHER ADMINISTRATIVE FACILITIES AND SERVICE BUILDINGS,"PROCESS, PHYSICAL DISTRIBUTION, AND LOGISTICS CONSULTING SERVICES",EXERCISE OPTION PERIOD 1.
CBP,70B01C21F00000071,DEPLOYED RESOURCES LLC,9926655.3,2021-07-07,P00014,OPERATION OF OTHER ADMINISTRATIVE FACILITIES AND SERVICE BUILDINGS,"PROCESS, PHYSICAL DISTRIBUTION, AND LOGISTICS CONSULTING SERVICES","EXERCISE OPTION PERIOD 2 (JULY 8, 2021 - AUGUST 7, 2022)."
CBP,70B02C20C00000004,PERATON INC.,9751557.48,2021-03-17,P00012,SUPPORT- PROFESSIONAL: ENGINEERING/TECHNICAL,ENGINEERING SERVICES,P00012-MODIFICAITON TO EXERCISE OPTION AND ADD FUNDING.
CBP,HSBP1017C00137,ACCENTURE FEDERAL SERVICES LLC,9522474.82,2020-10-23,P00023,IT AND TELECOM- FACILITY OPERATION AND MAINTENANCE,OTHER COMPUTER RELATED SERVICES,EXERCISE OPTION YEAR 2
CBP,70B03C19F00000606,DELOITTE CONSULTING LLP,9322850.63,2021-02-26,P00009,IT AND TELECOM- OTHER IT AND TELECOMMUNICATIONS,COMPUTER SYSTEMS DESIGN SERVICES,ADD ADDITIONAL FUNDING FOR FOUR MONTHS OF EXTENDED SERVICES
CBP,70B05C19F00000381,DEV TECHNOLOGY GROUP INC,9145904.41,2021-08-24,P00030,IT AND TELECOM- FACILITY OPERATION AND MAINTENANCE,OTHER COMPUTER RELATED SERVICES,INCORPORATION OF SURGE REQUIREMENTS TO SUPPORT ON DEMAND DEVELOPMENT AND O&M SERVICES.
CBP,70B02C20C00000041,PAE AVIATION AND TECHNICAL SERVICES LLC,9032243.69,2020-11-05,P00004,MAINT/REPAIR/REBUILD OF EQUIPMENT- AIRCRAFT AND AIRFRAME STRUCTURAL COMPONENTS,OTHER SUPPORT ACTIVITIES FOR AIR TRANSPORTATION,MOD TO FUND CONTRACT FOR DAY-TO-DAY OPERATIONS INCREMENTALLY THROUGH 12/4/20.
CBP,70B04C19F00001057,RED RIVER TECHNOLOGY LLC,8952019.0,2021-09-22,P00004,INFORMATION TECHNOLOGY SUPPORT EQUIPMENT,OTHER COMPUTER RELATED SERVICES,NETWORK EQUIPMENT AS A SERVICE
CBP,HSBP1017J00634,"TECHOP SOLUTIONS INTERNATIONAL, INC.",8781638.4,2021-09-14,P00008,SUPPORT- ADMINISTRATIVE: OTHER,OFFICE ADMINISTRATIVE SERVICES,OPTION PERIOD 4
CBP,70B01C21F00000195,DEPLOYED RESOURCES LLC,8668268.0,2021-09-24,P00005,OPERATION OF OTHER ADMINISTRATIVE FACILITIES AND SERVICE BUILDINGS,"PROCESS, PHYSICAL DISTRIBUTION, AND LOGISTICS CONSULTING SERVICES",MODIFICATION TO EXERCISE OPTION PERIOD
CBP,HSBP1016J00077,"MANTECH ADVANCED SYSTEMS INTERNATIONAL, INC.",8594067.07,2021-04-14,P00027,"IT AND TELECOM- INTEGRATED HARDWARE/SOFTWARE/SERVICES SOLUTIONS, PREDOMINANTLY SERVICES","DATA PROCESSING, HOSTING, AND RELATED SERVICES",BUSINESS INTELLIGENT SUPPORT SERVICES
CBP,70B02C20C00000041,PAE AVIATION AND TECHNICAL SERVICES LLC,8510830.57,2020-12-09,P00005,MAINT/REPAIR/REBUILD OF EQUIPMENT- AIRCRAFT AND AIRFRAME STRUCTURAL COMPONENTS,OTHER SUPPORT ACTIVITIES FOR AIR TRANSPORTATION,"MODIFICATION TO EXERCISE OPTION PERIOD 2 AND INCREMENTALLY FUND CONTRACT THRU DECEMBER 31, 2020"
CBP,70B02C20C00000041,PAE AVIATION AND TECHNICAL SERVICES LLC,8500000.0,2021-03-10,P00008,MAINT/REPAIR/REBUILD OF EQUIPMENT- AIRCRAFT AND AIRFRAME STRUCTURAL COMPONENTS,OTHER SUPPORT ACTIVITIES FOR AIR TRANSPORTATION,"MODIFICATION TO INCREMENTALLY ADD FUNDING THROUGH MARCH 31, 2021 AND REALIGN CONTRACT CEILING."
CBP,70B01C18F00000518,DELOITTE CONSULTING LLP,8477893.75,2021-03-01,P00013,SUPPORT- PROFESSIONAL: PROGRAM MANAGEMENT/SUPPORT,ENGINEERING SERVICES,"ADD REMAINING FUNDS REQUIRED TO FULLY FUND OPTION YEAR 2, NOW THAT THE CONTINUING RESOLUTION EFFECTIVE PERIOD HAS ENDED AND INCORPORATE 2 LABOR CATEGORIES FROM THE PREVIOUS OPTION YEAR."
